event_time,event_type,product_id,category_id,category_code,user_id
2026-01-01 10:00:02 UTC,view,1012,30002,electronics.device_2,20126
2026-01-01 10:00:06 UTC,view,1021,30001,electronics.device_1,20347
2026-01-01 10:00:15 UTC,view,1019,30009,electronics.device_9,20017
2026-01-01 10:00:16 UTC,view,1022,30002,electronics.device_2,20259
2026-01-01 10:00:26 UTC,view,1013,30003,electronics.device_3,20367
2026-01-01 10:00:35 UTC,view,5014,30004,electronics.device_4,20302
2026-01-01 10:00:40 UTC,view,1003,30003,electronics.device_3,20082
2026-01-01 10:00:47 UTC,view,1024,30004,electronics.device_4,20111
2026-01-01 10:00:53 UTC,view,1002,30002,electronics.device_2,20050
2026-01-01 10:00:59 UTC,view,1001,30001,electronics.device_1,20414
2026-01-01 10:01:00 UTC,view,5173,30003,electronics.device_3,20064
2026-01-01 10:01:07 UTC,view,1015,30005,electronics.device_5,20425
2026-01-01 10:01:17 UTC,view,1010,30000,electronics.device_0,20361
2026-01-01 10:01:19 UTC,view,1023,30003,electronics.device_3,20396
2026-01-01 10:01:24 UTC,cart,1015,30005,electronics.device_5,20444
2026-01-01 10:01:26 UTC,view,1019,30009,electronics.device_9,20326
2026-01-01 10:01:32 UTC,view,1008,30008,electronics.device_8,20108
2026-01-01 10:01:37 UTC,cart,5159,30009,electronics.device_9,20332
2026-01-01 10:01:39 UTC,view,5111,30001,electronics.device_1,20274
2026-01-01 10:01:43 UTC,view,1008,30008,electronics.device_8,20139
2026-01-01 10:01:52 UTC,view,1012,30002,electronics.device_2,20432
2026-01-01 10:01:53 UTC,view,1017,30007,electronics.device_7,20413
2026-01-01 10:01:59 UTC,view,5005,30005,electronics.device_5,20109
2026-01-01 10:02:09 UTC,view,5167,30007,electronics.device_7,20336
2026-01-01 10:02:17 UTC,cart,5002,30002,electronics.device_2,20330
2026-01-01 10:02:25 UTC,view,1023,30003,electronics.device_3,20127
2026-01-01 10:02:34 UTC,view,5075,30005,electronics.device_5,20300
2026-01-01 10:02:41 UTC,view,5098,30008,electronics.device_8,20113
2026-01-01 10:02:44 UTC,view,5060,30000,electronics.device_0,20387
2026-01-01 10:02:45 UTC,view,1006,30006,electronics.device_6,20082
2026-01-01 10:02:52 UTC,view,5105,30005,electronics.device_5,20196
2026-01-01 10:03:02 UTC,view,5039,30009,electronics.device_9,20498
2026-01-01 10:03:11 UTC,view,1005,30005,electronics.device_5,20059
2026-01-01 10:03:20 UTC,view,5184,30004,electronics.device_4,20329
2026-01-01 10:03:26 UTC,view,1007,30007,electronics.device_7,20081
2026-01-01 10:03:34 UTC,purchase,1001,30001,electronics.device_1,20449
2026-01-01 10:03:39 UTC,view,5056,30006,electronics.device_6,20260
2026-01-01 10:03:41 UTC,view,5120,30000,electronics.device_0,20328
2026-01-01 10:03:50 UTC,view,5111,30001,electronics.device_1,20192
2026-01-01 10:03:53 UTC,purchase,5076,30006,electronics.device_6,20473
2026-01-01 10:04:02 UTC,view,1000,30000,electronics.device_0,20251
2026-01-01 10:04:03 UTC,cart,1007,30007,electronics.device_7,20450
2026-01-01 10:04:08 UTC,view,1022,30002,electronics.device_2,20450
2026-01-01 10:04:18 UTC,view,1015,30005,electronics.device_5,20249
